[2026-07-07 16:02:16,495 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:16,520 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:16,567 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 16ms |  | 
[2026-07-07 16:02:17,554 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 10ms |  | 
[2026-07-07 16:02:17,601 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:17,611 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:17,628 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:17,647 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:20,821 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 0ms |  | 
[2026-07-07 16:02:20,893 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:20,912 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:20,931 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:20,963 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:21,014 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 15ms |  | 
[2026-07-07 16:02:25,477 root/INFO]: Logging initialized
[2026-07-07 16:02:28,883 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 11ms |  | 
[2026-07-07 16:02:29,165 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 233ms |  | 
[2026-07-07 16:02:29,167 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 215ms |  | 
[2026-07-07 16:02:29,169 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 2ms |  | 
[2026-07-07 16:02:29,190 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:29,269 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 26ms |  | 
[2026-07-07 16:02:30,072 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 35ms |  | 
[2026-07-07 16:02:30,155 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:30,183 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 2ms |  | 
[2026-07-07 16:02:30,208 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:30,227 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:02,622 root/INFO]: Logging initialized
[2026-07-07 16:03:04,302 root/INFO]: 127.0.0.1 - "GET /auth/login HTTP/1.1" - 200 - | 7ms |  | 
[2026-07-07 16:03:04,423 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 71ms |  | 
[2026-07-07 16:03:04,425 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:04,434 root/WARNING]: 127.0.0.1 - "GET /static/js/login.js HTTP/1.1" - 304 - | 68ms |  | 
[2026-07-07 16:03:05,406 root/INFO]: 127.0.0.1 - "GET /auth/register HTTP/1.1" - 200 - | 5ms |  | 
[2026-07-07 16:03:05,549 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:05,575 root/WARNING]: 127.0.0.1 - "GET /static/js/register.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:03:05,603 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:03:08,517 root/INFO]: 127.0.0.1 - "POST /auth/register HTTP/1.1" - 200 - | 130ms |  | 
